msg:1	[title26][sentence]\n你幹嘛沒事找罪受，\n做這種缺德事？
msg:24	[title32][sentence]\n你翻了翻身上家當，赫然\n發現[noun1][noun1:is:are]根本不在。\n你這笨蛋，怎麼會忘記帶\n[noun1:it:them]？身上沒有[noun1]，\n哪來的[noun1:it:them]可以放到\n別的地方呢？
msg:25	[title32][sentence]\n想像你把[noun1]硬塞進\n[noun2]，再想像這樣做\n真的有意義。好，現在\n慢慢數到十，換個念頭吧。
msg:26	[title32][sentence]\n你翻了翻身上家當，赫然\n發現[noun1][noun1:is:are]根本不在。\n你這笨蛋，怎麼會忘記帶\n[noun1:it:them]？總之，身上沒有的\n東西，你是要怎麼給？
msg:28	[title32][sentence]\n[noun2]對[noun1]毫無反應。\n過了好幾分鐘，你才漸漸\n意識到[noun2]根本對你的\n「禮物」一點興趣也沒有。
msg:29	[title32][sentence]\n你揮舞雙手拚命指向\n[noun1]，塵埃落定後才發現，\n[noun2]完全沒被你說服，\n根本不覺得自己需要\n[noun1:a :the ][noun1]。
msg:30	[title32][sentence]\n你想不出任何辦法能把\n[noun1:this:these]個[noun1]打開。
msg:31	[title32][sentence]\n你想不出任何辦法能把\n[noun1:this:these]個[noun1]打開。\n或許一把大鐵鎚能幫上忙。
msg:32	[title32][sentence]\n你想不出任何辦法能把\n[noun1:this:these]個[noun1]打開。\n或許一根大槓桿能幫上忙。
msg:33	[title32][sentence]\n[noun1:a :][noun1]是關不起來的，\n至少[noun1:this one:these]個不行。
msg:34	[title26][sentence]\n你真的沒必要這麼做。
msg:35	[title26][sentence]\n你沒辦法[sentence]。\n至少在這款遊戲裡不行。
msg:36	[title26][sentence]\n你瘋了嗎？什麼樣的人才會\n想要[sentence]？你或許該\n刮點腦漿裝進杯子裡，\n換個想法吧。
msg:37	[title26][sentence]\n這樣做現在不會有\n任何進展，你該換個\n計畫了。
msg:38	[title32][sentence]\n吹箭筒在水裡沒用，\n看來你的腦袋也是。
msg:39	[title32][sentence]\n朝[noun2]射幾支鏢或許\n是不錯的練習，但你的\n彈藥有限，實在浪費不起。
msg:40	[title32][sentence]\n可憐的[noun2]到底招惹你\n什麼了，值得被你用縮頭\n毒鏢招呼？
msg:41	[title32][sentence]\n食人魚游得太快，\n你根本瞄不準。
msg:42	[title32][sentence]\n炸彈要小心拿！數量本來\n就有限，而且離爆炸點\n太近的下場，你自己\n想想看。
msg:99	[title26][sentence]\n[center]（試玩版無法使用）
msg:800	[title20]望遠鏡\n這是一副星際科技出品的\n「行星探險家」望遠鏡，\n倍率可調10到30倍，相當\n好用。
msg:801	[title15]漢堡\n這坨發霉凝結的真菌，\n你依稀記得它曾經\n是個漢堡。
msg:802	[title24]死魚\n這是條再普通不過、腫脹\n發臭的死魚。雖然是外星\n品種，噁心程度跟你在\n熟悉世界見過的死魚\n不相上下。
msg:803	[title26]塞料死魚\n看來死魚還不夠噁心，\n於是你把那坨發霉漢堡\n硬塞進牠喉嚨，成果\n慘不忍睹。
msg:804	[title26]水中呼吸器\n這是你在牛塞八號星\n拋錨修理超空間分流器\n時順手撈到的水中呼吸器，\n近距離觀賞大牛角礁，\n這絕對是最有格調的\n方式。
msg:805	[title22]計時模組\n這個計時模組原本是你\n太空船的一部分，直到\n你墜機在這裡。它還能動，\n不過準不準，你可別\n拿命去賭。
msg:806	[title32]大葉子\n這幾片綠色大葉子勉強\n塞得進口袋，葉脈粗壯，\n有點像菠菜葉。
msg:807	[title32]毒鏢\n這些吹箭鏢的尖端塗有\n化學藥劑，一旦進入\n血液，會讓頭顱急速\n收縮。
msg:808	[title32]植物莖\n這根植物莖已經在地上\n躺了一陣子，中心早已\n腐爛，只剩下一根\n中空的長條外殼。
msg:809	[title32]吹箭筒\n這支小巧的吹箭筒，\n正是把鏢射向目標的\n最佳工具。
msg:810	[title32]甜滋果\n這顆多汁的小果子好吃\n到不像天然食物，這麼\n美味的東西應該要用\n玻璃紙包裝才對。可以\n打包票，這絕對是全島\n最好吃的零食。
msg:811	[title32]骨頭\n說是大腿骨嫌小，說是\n手指骨又嫌大，你也\n說不準這到底是哪根\n骨頭。
msg:812	[title32]烤雞\n這隻多汁金黃的烤雞，\n讓你看了直流口水。
msg:813	[title32]手術刀\n這把醫療鋼手術刀相當\n鋒利，看起來也很堅固，\n拿的時候小心點。
msg:814	[title32]錄音帶\n這捲標準九十分鐘錄音帶，\n輕巧好攜帶。
msg:815	[title32]信用晶片\n這看起來是張如假包換的\n信用晶片！要是你開始\n乖乖繳帳單，大概再過\n二十年就能申請到一張。
msg:816	[title32]保全卡\n卡片上的女人眼神冷冽，\n不過想到她現在已經是\n怪物的食物，你就稍微\n安心了點。卡片上有條\n小磁條。
msg:817	[title32]裝藥盒\n這種軍規壓縮盒平常是\n用來裝炸藥的，現在\n空空如也，危險程度\n大概跟咖啡罐差不多。
msg:818	[title32]<Deleted： Estrotoxin>\n總有一天，這個物件\n會有個名字。
msg:819	[title32]炸彈\n這顆炸彈的引爆器看起來\n很敏感，千萬別手滑\n摔到它。
msg:820	[title32]定時炸彈\n把舊計時模組接上這寶貝\n的引爆器，你就湊出了一顆\n克難定時炸彈。
msg:821	[title32]維修清單\n你現在「應該」要讀的\n就是這個。
msg:822	[title32]外星烈酒\n這玩意兒後座力十足，\n外星酒你永遠猜不透。\n看這酒色的清澈程度，\n你猜大概有195度。
msg:823	[title32]瞄準模組\n這個瞄準模組的品質讓你\n印象深刻。裝上小型太空船\n的射控電腦，幾乎什麼\n目標都能又快又準地\n命中。
msg:824	[title21]護盾調變器\n這種護盾調變器能把能量\n快速引導到受擊點，藉此\n提升防禦力場的效能。\n「油豬號」要是沒裝這個，\n你現在大概已經不在\n人世了。
msg:825	[title32]錄音機\n這台最先進的立體聲錄音機\n配備長衝程鈦振膜低音喇叭、\n26波段調諧器（連珈瑪波、\n重力波這種冷門波段都收得到）\n還內建原子動力爐，電池\n什麼的早就過時了。
msg:826	[title32]電話電池\n這看起來是標準雙Q號\n電池，
msg:827	[title32]筆型手電筒\n這支手持筆型手電筒要是\n沒那麼大支，會方便\n不少。看來這星球的筆\n都特別粗。
msg:828	[title32]「勁掛」電池\n這對雙Q號電池自稱是\n「唯一能信任你電力\n需求的品牌」。是喔。
msg:829	[title32]假證件\n這張證件的做工爛到讓你\n傻眼，如果在這裡真的\n能矇混過關，那簡直\n是奇蹟。
msg:830	[title32]證件\n這張證件像樣多了。看來\n巴克的保全權限等級\n也不差。
msg:831	[title32]強力膠\n這罐快乾萬能膠水能修\n破盤子、修烤漆掉了的\n車身板件、修斷牙，\n搞不好還能修婚姻。
msg:832	[title32]釣竿\n這根復古小釣竿讓你想起\n跟叔叔一起釣魚的週末。\n當然，你每次的漁獲\n只有感冒。
msg:833	[title32]釣魚線\n這是你從釣竿上拆下來\n的細尼龍線。
msg:834	[title32]掛鎖鑰匙\n這把鑰匙由某種類似黃銅\n的材質製成，歷經歲月\n保養得還不錯，以它的\n尺寸來說相當沉。
msg:835	[title32]門鑰匙\n這把薄門鑰匙上刻著\n「史拉奇」幾個字。
msg:836	[title32]後照鏡\n這面鏡子是你從修車廠\n順來的。當太空船後照鏡\n太小了，不過拿來刮鬍子\n倒是剛好。
msg:837	[title32]粉餅盒\n你從沒想過自己會隨身\n帶著這種東西。腮紅色號\n對你來說深了點，不過\n鏡子倒是完好無缺。
msg:838	[title32]<Deleted： Magnet>\n總有一天，這個物件\n會有個名字。
msg:839	[title32]雷管\n這是軍規雷管，極度敏感，\n只要通對地方的電，或是\n一個突然的震動，就會\n立刻引爆。四爪設計能\n確保炸藥確實點燃。
msg:840	[title32]瓶子\n這個又髒又舊的瓶子，\n裡面竟然沒有夾張紙條，\n膽子真大。
msg:841	[title32]雞肉炸彈\n這隻縱火用的家禽危險性\n不容小覷，你最好現在\n就別再啃了。
msg:842	[title32]花瓶\n這只淡紫色花瓶美得很，\n對你來說也值不少錢。\n你費了那麼大勁才弄到手，\n可千萬別摔了它。
msg:843	[title32]遙控器\n這個造型古怪的遙控器\n只有一顆按鈕，側邊還刻著\n一行小字：「請歸還黃金管\n太空港」。嗯……
msg:844	[title32]<Deleted： Game>\n總有一天，這個物件\n會有個名字。
msg:845	[title32]話筒\n這支電話話筒輕巧小巧，\n正如你對「可攜式」\n這三個字的想像。
msg:846	[title32]骨頭\n說是大腿骨嫌小，說是\n手指骨又嫌大，你也\n說不準這些到底是哪些\n骨頭。
msg:847	[title32]守衛的手臂\n噁！這隻手臂開始僵硬了。\n你下意識注意到，它\n沒戴婚戒。
msg:848	[title32]語音啟動自動謄寫錄音日誌\n[center]別西怪玩具店\n[center]小行星80791-G\n（環繞貝果汁九號星軌道）\n[center]\n[center]封面材質：100%純皮革
msg:849	[title32]炸彈\n這些炸彈的引爆器看起來\n相當敏感，千萬別\n手滑摔到它們。
msg:850	[title32]紙條\n如果你看得懂這行字，\n記得打給MicroProse\nSoftware的Brian\nReynolds，跟他說你\n抓到一個bug。
msg:851	[title32]密碼\n哈！你大概猜到這是什麼\n了！右、左、右、左，\n這應該是城裡某個地方\n的路線指示。
msg:852	[title32]福馬林\n你聞到福馬林的味道，\n嗅覺瞬間把你拉回過去，\n腦海閃過一堆早已\n作古的青蛙畫面。
msg:853	[title32]貝托克斯\n這玩意兒能拿來當太空船\n燃料，處理時「務必」\n非常小心。
msg:854	[title32]卵磷脂\n嗯……八成是從蛋黃\n萃取出來的磷脂質。
msg:860	[title32]裝藥盒\n這種軍規壓縮盒平常是\n用來裝炸藥的，現在裝滿\n了「派羅特調」。記得\n她之前失手摔了一些\n之後發生了什麼事……
msg:861	[title32]話筒\n這支電話話筒輕巧小巧，\n正如你對「可攜式」\n這三個字的想像，畢竟\n電池都被拿掉了。
msg:862	[title32]釣竿\n這根復古小釣竿讓你想起\n跟叔叔一起釣魚的週末。\n不過現在派不上用場，\n因為釣魚線已經被你\n拆掉了。
msg:863	[title32]瓶子\n這個又髒又舊的瓶子，\n裡面竟然沒有夾張紙條，\n膽子真大。瓶裡大概裝了\n四分之一瓶水。
msg:864	[title32]瓶子\n這個又髒又舊的瓶子，\n裡面竟然沒有夾張紙條，\n膽子真大。瓶裡大概裝了\n半瓶水。
msg:865	[title32]瓶子\n這個又髒又舊的瓶子，\n裡面竟然沒有夾張紙條，\n膽子真大。瓶裡大概裝了\n四分之三瓶水，開始\n重得有點難帶著走。
msg:866	[title32]瓶子\n這個又髒又舊的瓶子，\n裡面竟然沒有夾張紙條，\n膽子真大。瓶裡裝滿了水，\n重得開始難帶著走。
msg:867	[title32]錄音機\n這台最先進的立體聲錄音機\n配備長衝程鈦振膜低音喇叭、\n26波段調諧器（連珈瑪波、\n重力波這種冷門波段都收得到）\n還內建原子動力爐，電池\n什麼的早就過時了。錄音機\n裡還有一捲小錄音帶。
msg:401	[title32]播放錄音帶\n你聽見一個女性的聲音\n正在口述：\n[center]\n「第21筆紀錄……畢庫斯波多\n曆90919年28日……轟毀計畫……\n這裡是艾瑪‧派羅教授。這批\n就叫『七號批』，基本上是\n六號批加高貝托克斯濃度的\n版本。我先加一[index0]\n[index4]……好，接著加一\n[index1][index5]，輕輕攪拌。\n看起來不錯。現在加[index6]，\n只要一[index2]就好。再輕輕\n攪拌一次。好了。最後加一\n[index3][index7]。嗯，這批\n看起來不錯。我現在要把\n混合物搬去處理台，我要——\n哎呀！」\n[center]〈轟！〉\n[center]\n錄音帶接下來一片寂靜。
msg:402	[title32][sentence]\n這張電腦報表似乎是傳送\n器的維修狀態清單。讀完\n之後你得知：[number0]、\n[number1]、[number2]、\n[number3]號傳送器因待修\n而離線；[number4]號和\n[number5]號最近才校準過；\n[number6]號和[number7]號\n需要小幅調整；而\n[number8]號的性別安全\n模組則排定要進行\n例行保養。
msg:403	[title32][sentence]\n你把雷管接上裝藥盒裡的\n炸藥，湊出了一對\n像樣的炸彈。
msg:404	[title32][sentence]\n你把計時模組接到炸彈\n尾端，再接上雷管。只要\n啟動計時模組，這應該\n就能當克難定時炸彈用。
msg:405	[title32][sentence]\n裝藥盒裡目前沒有炸藥，\n所以接上雷管也是\n白搭。
msg:406	[title32][sentence]\n你按下「播放」鍵，卻\n什麼都沒發生，看來\n裡面沒有錄音帶。
msg:407	[title32][sentence]\n你按下「退出」鍵，卻\n什麼都沒發生，看來\n裡面沒有錄音帶。
msg:408	[title32][sentence]\n這台錄音機看不出有螺絲\n或其他卡榫，連電池槽\n都找不到，想必內建了\n某種永久電源。
msg:409	[title32][sentence]\n你打開機殼，取出釣魚線\n捲軸。這捲軸上的釣魚線\n多到誇張——大概有\n好幾百碼的超細纖維。
msg:428	[title32][sentence]\n你已經把這根釣竿上的\n釣魚線全部拆下來了。
msg:410	[title32][sentence]\n你輕輕撫摸植物莖幾下，\n什麼事也沒發生。你或許\n該想點更有建設性的\n事來做。
msg:411	[title32][sentence]\n你旋開筆型手電筒的蓋子，\n裡面是一對「勁掛」電池。\n看不出生鏽，不過電力\n已經完全耗盡。
msg:429	[title32][sentence]\n你旋開筆型手電筒的蓋子，\n裡面是一對「勁掛」電池。\n今天肯定是你的幸運日，\n不只沒生鏽，電力看起來\n還是滿的。
msg:412	[title32][sentence]\n你旋開筆型手電筒的蓋子，\n再次取出「勁掛」電池。
msg:413	[title32][sentence]\n你旋開筆型手電筒的蓋子，\n取出你先前放進去的\n電話電池。
msg:414	[title32][sentence]\n你打開話筒的電池槽，\n取出「勁掛」電池。放在\n電話裡似乎有回報，兩顆\n電池現在都顯示滿電。
msg:415	[title32][sentence]\n你打開話筒的電池槽，\n取出「勁掛」電池。兩顆\n電池仍然顯示滿電。
msg:416	[title32][sentence]\n你打開話筒的電池槽，\n取出「勁掛」電池。\n電池依然沒電。
msg:417	[title32][sentence]\n你撬開話筒的電池槽，發現\n裡面有兩顆電話電池。這支\n電話的電源想必還通著，\n因為電池一直保持滿電。\n你把電話電池收進口袋\n備用。
msg:418	[title32][sentence]\n你撬開話筒的電池槽，再次\n取出滿電的電話電池，\n又把它們收進口袋備用。
msg:419	[title32][sentence]\n你把電話電池裝進筆型\n手電筒，旋上蓋子。
msg:420	[title32][sentence]\n筆型手電筒裡還裝著\n「勁掛」電池，沒辦法\n再放進電話電池。
msg:421	[title32][sentence]\n你把電話電池放回話筒裡\n收好。
msg:422	[title32][sentence]\n話筒裡目前裝著「勁掛」\n電池，沒辦法把電話電池\n放回去。
msg:423	[title32][sentence]\n你把「勁掛」電池放回\n筆型手電筒收好，\n旋上蓋子。
msg:424	[title32][sentence]\n筆型手電筒裡還裝著\n電話電池，沒辦法把\n「勁掛」電池放回去。
msg:425	[title32][sentence]\n你把「勁掛」電池裝進\n電話話筒，剛好卡緊\n接點。
msg:426	[title32][sentence]\n如果想把「勁掛」電池裝進\n電話聽筒，得先拆開聽筒，\n取出裡面原本的電池。
msg:427	[title32][sentence]\n設定定時炸彈之前，先想\n清楚要炸什麼，接著要找個\n穩固的地方放好，好讓你在\n它爆炸前跑得掉。引爆的時\n候，你可不會想待在附近。
msg:430	[title32][sentence]\n氣頭上，你把炸彈塞進雞\n肚子裡。現在你多了一顆\n雞肉炸彈，迫不及待想找\n個地方點燃它，看雞腿滿\n天飛！
msg:431	[title32][sentence]\n不知為何，這輛車不肯\n接受這個目的地，可能\n是那邊的磁浮車軌道電\n力被切斷了。
msg:432	[title32][sentence]\n你把瓶子裡的水全倒光\n了，現在瓶子空了。
msg:433	[title32][sentence]\n不需要把飛鏢裝進吹箭\n筒，直接選好目標發射\n就行了。
msg:434	[title32][sentence]\n別這樣做！你可能會需\n要[noun1]來通過某扇\n門，或闖過某個重要關\n卡！
msg:435	[title32][sentence]\n別拆掉[noun1]！你可能\n會用到它[noun1:it:them]！\n
msg:440	[title32][sentence]\n你聞不到[noun1]的味\n道，因為你的鼻子現在\n灌滿了水。
msg:441	[title32][sentence]\n在水裡的時候，你的嘴巴\n正忙著用水中呼吸器，可\n不想為了吃[noun1]冒溺\n水的風險。
msg:442	[title32][sentence]\n你用力聞了聞漢堡，差\n點沒昏過去。這東西現\n在大概已經可以拿來當\n燃料了。
msg:443	[title32][sentence]\n你張開嘴，捏了捏漢堡，\n調整好角度，正準備下口\n……等等！漢堡裡的一條\n蟲用超委屈的眼神看著你，\n你實在狠不下心把牠吞下去。
msg:444	[title32][sentence]\n哇！他越來越「熟」了！
msg:445	[title32][sentence]\n你想了一下，還是決定\n外星壽司這種東西，先\n讓別人試吃比較好。
msg:446	[title32][sentence]\n腦子放清醒點，你已經\n戴著水中呼吸器了。
msg:447	[title32][sentence]\n還不急。水中呼吸器要\n等你下水之後才用得到。
msg:448	[title32][sentence]\n計時模組現在沒接在任\n何東西上，設定它也沒\n有意義。
msg:449	[title32][sentence]\n你咬了一口大葉子的邊緣。\n舌頭瞬間麻掉之後，你決\n定還是別亂吃奇怪的植物\n比較好。
msg:450	[title32][sentence]\n抱歉啦，雷克斯。這些\n是「縮頭」飛鏢，不是\n「消腫」飛鏢。
msg:451	[title32][sentence]\n你板著一張超嚴肅的臉，\n雙手小心翼翼捧著甜滋果，\n慢條斯理地一口一口啃，\n直到整顆吃光。你覺得這\n真是一次享受。
msg:452	[title32][sentence]\n你捲起袖子，把甜滋果\n搓成一球，大吼一聲整\n個塞進嘴裡，嚼個一兩\n下就直接吞下去。這場\n噁心表演的壓軸，是一\n聲驚天動地的飽嗝。
msg:453	[title32][sentence]\n啃了幾分鐘骨頭之後，\n你突然很想用腳去抓跳\n蚤。
msg:454	[title32][sentence]\n你輕輕摩挲錄音帶好幾\n分鐘，你們倆都樂在其\n中。
msg:455	[title32][sentence]\n還是別這樣。你之後可\n能用得到，而且這大概\n是你這輩子僅有的一筆\n錢了。
msg:456	[title32][sentence]\n你興奮地撫摸裝藥盒好\n幾分鐘後，決定該回去\n做正事了。
msg:457	[title32][sentence]\n你「輕輕地」摩擦炸彈，\n再多摩擦幾下，然後用力\n一點摩擦。炸彈側面開始\n發亮了，但硝酸精靈還是\n沒有現身，你只好放棄。
msg:458	[title32][sentence]\n你應該先找個好地方放\n置它。先設定好計時器\n才找地方放，那可是會\n讓人壓力山大的經驗。
msg:459	[title32][sentence]\n你撕開瓶蓋，仰頭張大\n喉嚨準備一飲而盡……\n然後打消念頭。這可是\n烈酒，會影響你完成正\n事（領錢辦事）的能力。
msg:460	[title32][sentence]\n這麼做沒什麼建設性，\n你搞不好還用得到這東\n西。
msg:461	[title32][sentence]\n你盯著電池研究了一下\n，才想起自己從沒學過\n怎麼一次拋接一個以上\n的東西。
msg:462	[title32][sentence]\n你最好別這樣，只會把\n[noun2]弄得黏答答的。
msg:463	[title32][sentence]\n不需要把釣魚線[verb]\n到[noun2]上。
msg:464	[title32][sentence]\n你沒辦法用[noun1]打\n開[noun2]的鎖。
msg:465	[title32][sentence]\n（嗅）呃……（嗅~）這東西\n有什麼好大驚小怪的？\n（嗅~~~）聞起來怪怪的\n……（嗅~~~~）我口齒不\n清，連自己在說什麼都\n聽不懂了，哩咕嚕嘎搭\n嘟嚕巴唏哩胡嚕搭嘟嘎機。
msg:466	[title32][sentence]\n你看到[noun2]的倒影，\n看起來跟原本的[noun2]\n沒什麼不同，只是左右相\n反。
msg:467	[title32][sentence]\n你該刮鬍子了。
msg:469	[title26][sentence]\n你還沒餓到能把整隻雞\n塞下喉嚨，所以你「小\n心翼翼」地啃了幾口雞\n翅，剩下的留著燉菜用。
msg:470	[title26][sentence]\n雷管本來就不是設計來\n接在[noun2]上的，你\n小心地把它們放回口袋。
msg:471	[title26][sentence]\n你立刻打消這個念頭，\n七萬五千銀河幣有太多\n更好的花法了。
msg:472	[title26][sentence]\n你自我介紹，並用力握\n了握那隻手臂，接著迅\n速張望，確認沒人看到\n這一時失態的舉動。
msg:473	[title26][sentence]\n你隨手翻開船長日誌的\n一頁快速看了看。哇！\n裡面記錄的東西還真不\n少。
msg:474	[title32][sentence]\n你「輕輕地」摩擦其中一\n顆炸彈，再多摩擦幾下，\n然後用力一點摩擦。炸彈\n側面開始發亮了，但硝酸\n精靈還是沒有現身，你只\n好放棄。
msg:475	[title32][sentence]\n你平常吃的垃圾食物裡\n防腐劑多到爆，大概根\n本不需要做防腐處理。\n這些東西你用不到。
msg:476	[title32][sentence]\n這可不是個好主意。咖\n啡就已經讓你緊張兮兮\n了，火箭燃料絕對會出\n大事。
msg:477	[title32][sentence]\n你小啜了一口卵磷脂，\n味道糟透了，你不禁納\n悶自己怎麼會想喝這東\n西。
msg:478	[title32][sentence]\n你打開[noun1]，裡面\n卻沒有電池。
msg:479	[title32][sentence]\n其實你也不太確定「捲\n曲」一個東西到底該怎\n麼做。
msg:912	[title26][sentence]\n你還沒餓到能把整隻雞\n塞下喉嚨，所以你啃了\n幾口雞翅，剩下的留著\n燉菜用。
msg:501	[title26][sentence]\n你按下按鈕，但似乎什\n麼事都沒發生。
msg:502	[title30][sentence]\n等你進到船裡之後再啟\n動遙控器，會比較安全。
msg:10601	[title27][sentence]\n這看起來像是母親節會\n跟花店訂的東西。別拿\n了，買點糖果給她比較\n實在。
msg:10602	[title26][sentence]\n看來你上自然課時沒在\n聽，瓊斯老師講過海葵\n可以螫得很痛。在外星\n海洋裡，這句話你最好\n記住，不然會沒命。
msg:10603	[title26][sentence]\n雖然在某些文化裡海藻\n算是珍饈，但你個人實\n在不怎麼欣賞。
msg:10604	[title20][sentence]\n噁！是在想換個飲食習\n慣嗎？別擔心，你的纖\n維攝取量已經很夠了。
msg:10605	[title25][sentence]\n那邊有些滿有意思的地\n形。
msg:10606	[title24][sentence]\n看來你昏倒在地上的時\n候，船遭到一場小型水\n下坍方波及。你想把這\n些東西全部搬開的機率\n……嗯……趨近於零。
msg:10607	[title24][sentence]\n簡直不可思議。你似乎\n沒注意到，這些石頭又\n大又多。
msg:10608	[title32][sentence]\n看來油豬號這輩子飛不動了。\n剩下的只有內層安全艙殼，\n引擎、武器，還有環境防\n護殼外面的東西，不是在\n重返大氣層時被打掉，就\n是燒光了。當然，被埋在\n幾百噸石頭底下也不是什\n麼好日子。這艘船算是報\n銷了，你得另外找辦法離\n開這顆星球。
msg:10609	[title22][sentence]\n主氣密艙已經備妥、開啟，\n正等著你。這大概是你這\n輩子唯一遇過「準備好又\n敞開」的東西。
msg:10610	[title26][sentence]\n看來有水從你的耳咽管\n滲進去，把腦子都淹了\n。它「已經打開了」！
msg:10611	[title20][sentence]\n還是別這樣。你不知道\n這下面潛伏著什麼，搞\n不好得趕緊躲回去。
msg:10612	[title21][sentence]\n這是一處海崖，沒什麼\n特別有趣的。
msg:10613	[title27][sentence]\n過濾後的陽光在海底閃\n爍出美麗的紋路，真的\n非常漂亮，而且……非\n常……讓人恍神……
msg:10614	[title25][sentence]\n你正在自己船隻殘骸的\n外面游泳，看來你位在\n那個你「降落」的潟湖\n西側邊緣。
msg:50110	[title25][sentence]\n這扇門顯然是厚重金屬\n打造，看起來刀槍不入。\n換句話說，狠狠踹一腳\n除了可能扭傷腳踝，不\n會有任何效果。門邊有\n個插卡槽，讓你不禁好\n奇門後藏著什麼值得這\n樣戒備的東西。
msg:50111	[title10][sentence]\n它是開著的。
msg:50112	[title27][sentence]\n這看起來跟你見過的其\n他電子讀卡機沒兩樣，\n是個用來插入特殊編碼\n卡片的小插槽。
msg:50113	[title24][sentence]\n插不進去。這裡顯然跟\n你當初找到那張安全卡\n的地方毫無關係。
msg:50114	[title29][sentence]\n告示牌上用超大字體寫\n著「想都別想在這裡停\n車」，下面用小字寫著\n「法爾茅斯公共工程部\n」。
msg:50115	[title20][sentence]\n你考慮把告示牌拿走，\n但想起自己沒地方放，\n於是決定留在原地。
msg:50116	[title33][sentence]\n哇！好酷的一輛車！這\n一定是這裡的交通工具\n。你認出這是一輛磁浮\n車，而且就算是磁浮車\n來說，這外型也算相當\n高科技了。
msg:50117	[title16][sentence]\n這就是你剛剛坐的那輛\n磁浮車。
msg:50118	[title26][sentence]\n你注意到對面牆上有個\n傳送器和一部電梯。
msg:50119	[title30][sentence]\n這條人行道和街道通往\n一座大都市。城市的規\n模讓你有點擔心，這裡\n很容易迷路。你決定開\n車，而且別離車子太遠。
msg:50120	[title25][sentence]\n這棟建築保存得還算不\n錯，看來沒人理會「禁\n止張貼」的告示。
msg:50121	[title29][sentence]\n你站在一條街的盡頭，\n街道向西通往一座大城\n市。北邊的建築物上有\n一扇厚重的金屬門，街\n上停著一輛不知名的車。
msg:50122	[title25][sentence]\n你注意到門邊有個安全\n插槽，判斷這裡需要某\n種通行卡。
msg:50123	[title25][sentence]\n這看起來是一般的消防\n栓。
msg:50124	[title25][sentence]\n你完全沒有把自己弄濕\n的衝動。
msg:50125	[title25][sentence]\n看起來像是水管之類的\n東西，你對隨便的管線\n沒什麼興趣。
msg:50126	[title22][sentence]\n你到底是對管線有什麼\n迷戀？這些管子沒有，\n再說一次，「沒有」任\n何有趣的地方。
msg:50127	[title30]廢棄城市\n哇！你停下來看了一眼\n眼前這座巨大城市，第\n一印象就讓你愣住了。\n整座城市似乎建造在一\n個超巨大的金屬圓柱體\n內。你顯然站在兩層樓\n裡的下層，可以看到上\n層呈現出巨大四葉風扇\n的形狀。你花了一分鐘\n欣賞這棟建築。\n
