70123	[title16][sentence]\nThe boat is 'docked' at the maintenance\nplatform.	[title16][sentence]\n那艘小船「停靠」在維修平台。
30715	[title29][sentence]\nThe cell is damp and dreary.  The bed looks\nuncomfortable; calling the sink and toilet\n"unclean" would be like calling Newton "bright".\nTo make matters worse, the force-field holding\nyou here is making your hair stand on end.	[title29][sentence]\n牢房又濕又陰森。床看起來\n很不舒服；要說水槽和馬桶\n「不乾淨」，就跟說牛頓\n「還算聰明」一樣可笑。更糟的是，\n困住你的力場讓你的頭髮根根倒豎。
30716	[title27][sentence]\nThe scalpel is a precision instrument.  Trying\nto sharpen it without the correct equipment\nis not a good idea.  You don't want to break\nthe thing--you may need it later.	[title27][sentence]\n手術刀是精密器械。沒有\n正確的工具就想磨利它，\n不是個好主意。你可不想\n把它弄壞——之後可能用得到。
30717	[title29][sentence]\nThe back wall of this cell was obviously\ncarved from solid rock.  The other walls\nare made of a strong ferrous metal.  The\nonly obvious means of egress is the front\nof the cell, which is currently protected\nby a powerful force field.	[title29][sentence]\n這間牢房的後牆顯然是\n從整塊岩石鑿出來的。其他的牆\n則是用堅固的鐵合金打造。\n唯一看得出來的出口就是\n牢房的正面，而那裡目前\n被強大的力場保護著。
30718	[title26][sentence]\nPossibly the only thing in the room brighter\nthan yourself, the light bathes the room in\na sodium-orange glow.	[title26][sentence]\n這整間房裡，大概只有\n這盞燈比你聰明——它把房間\n染成一片鈉燈式的橘光。
30719	[title26][sentence]\nYour walk is stopped short by a run-in with\nan impenetrable force field.	[title26][sentence]\n你才走沒兩步，\n就狠狠撞上密不透風的力場。
30720	[title20][sentence]\nYou try once more to penetrate the\nimpenetrable force field, with predictable\nresults.	[title20][sentence]\n你又試了一次想穿過\n那個無法穿透的力場，\n結果當然不出所料。
30721	[title25][sentence]\nAfter bumping your face a third time you\ndecide to be more careful where you walk.	[title25][sentence]\n臉撞了第三次之後，\n你終於決定走路小心一點。
30722	[title16][sentence]\nYou once more bash your face\non the force field.	[title16][sentence]\n你又一次\n把臉撞上力場。
30723	[title32][sentence]\nNot right now!  Those guards might be watching!	[title32][sentence]\n現在不行！那些守衛可能在看！
10801	[title25][sentence]\nDon't strain your eyes; there's really\nnot much to see.	[title25][sentence]\n別費眼力了，\n這裡真的沒什麼好看的。
10802	[title13][sentence]\nNothing special here.	[title13][sentence]\n這裡沒什麼特別的。
10803	[title21][sentence]\nThey have been rocks for a long time.  They\nprobably will continue to be rocks for a long time.	[title21][sentence]\n它們當石頭已經當很久了，\n大概還會繼續當很久的石頭。
10804	[title26][sentence]\nSorry. Too heavy--not to mention useless.	[title26][sentence]\n抱歉，太重了——更別說根本沒用。
10805	[title25][sentence]\nMillions of years ago these used to be rocks.  \nNow look at them.  They have become, well, ahh,\nolder and wiser rocks.  Isn't it amazing what\nevolution can do?	[title25][sentence]\n幾百萬年前這些原本就是石頭。\n現在看看它們，已經變成了……\n嗯……更老更有智慧的石頭。\n演化真是太神奇了，不是嗎？
10806	[title10][sentence]\nNot worth it.	[title10][sentence]\n不值得。
10807	[title25][sentence]\nCPR is definitely out of the question,  but maybe\nmouth to mouth might . . . nah.	[title25][sentence]\n心肺復甦絕對不用考慮，\n不過口對口嘛……算了。
10808	[title26][sentence]\nYou carefully pick up the dead, slimy fish.	[title26][sentence]\n你小心翼翼地撿起那條\n又死又黏滑的魚。
10809	[title21][sentence]\nThat looks like an interesting area.	[title21][sentence]\n那個地方看起來挺有意思的。
10810	[title25][sentence]\nThere is a large open area north of you.	[title25][sentence]\n你北邊有一大片開闊地。
10811	[title25][sentence]\nYou sense her presence as goose bumps \nencompass the pores of your body.	[title25][sentence]\n你感覺到她的存在，\n雞皮疙瘩爬滿了全身的毛孔。
10812	[title32][sentence]\nYou are toward the southern end of the lagoon.\nA coral barrier blocks your progress south.  You\ncan swim north or east.\n	[title32][sentence]\n你在潟湖的南端附近。\n一道珊瑚屏障擋住你南進的路。\n你可以往北或往東游。\n
20701	[title22][sentence]\nThe dense forest looks like the kind\nof place you would like to avoid.	[title22][sentence]\n這片茂密的森林\n看起來是那種你想避開的地方。
20702	[title20][sentence]\nIt's nice and straight.  You are glad to see that someone\naround here takes pride in their lawn.	[title20][sentence]\n整整齊齊又筆直。看到這附近\n有人對自家草坪這麼用心，\n你感到很欣慰。
20703	[title21][sentence]\nNo doubt a sign that outsiders are not welcome.\nPerhaps you shouldn't hang around here too long.	[title21][sentence]\n這無疑是在告訴外人不受歡迎。\n或許你不該在這裡待太久。
20704	[title21][sentence]\nYech! Whatever is cooking in that cauldron\nsmells bad enough to kill a horse.  Then again,\nmaybe that's what it's supposed to do.	[title21][sentence]\n噁！不管那個大鍋在煮什麼，\n味道臭到能把一匹馬熏死。\n不過話說回來，\n或許本來就該是這個效果。
20705	[title30][sentence]\nThis appears to be some sort of native shaman's\nhome.  The fire under the cauldron has been recently\nstoked--You may not want to hang around too long.\nThen again, the door is open . . . .	[title30][sentence]\n這裡看起來是某種\n當地薩滿的家。大鍋底下的火\n最近才剛被添過柴——你可能不會想\n在這裡待太久。不過話說回來，\n門是開著的……
20706	[title16][sentence]\nThe path looks well used.	[title16][sentence]\n這條小路看起來常有人走。
20707	[title20][sentence]\nThe breathtaking mountains climb\nmajestically into the sky.	[title20][sentence]\n壯麗的山脈\n巍然聳入天際。
20708	[title26][sentence]\nHow about that.  This plant actually grows on\na planet that has no cosmetics industry.	[title26][sentence]\n真想不到，這種植物\n竟然生長在一個沒有\n化妝品產業的星球上。
20709	[title18][sentence]\nThe lawn is of little interest.	[title18][sentence]\n這片草坪沒什麼看頭。
20710	[title32][sentence]\nThis bird looks remarkably like what would be\ncalled a vulture on your home planet.  Then again,\nYOU have been called a vulture on your home\nplanet.	[title32][sentence]\n這隻鳥看起來，\n活脫脫就像你老家所謂的「兀鷲」。\n不過話說回來，\n在你老家，也有人\n這樣叫過「你」本人。
20711	[title22][sentence]\nYou have a strange and eerie feeling that\nyou shouldn't be here.	[title22][sentence]\n你有種說不出的詭異感，\n覺得自己不該出現在這裡。
20712	[title19][sentence]\nThey are secured tightly to the pole and \ncan not be removed.	[title19][sentence]\n它們被牢牢固定在柱子上，\n無法取下。
20713	[title27][sentence]\nYou don't need it, your skin is in good shape.	[title27][sentence]\n你不需要它，你的皮膚狀態很好。
20714	[title17][sentence]\nThere are numerous insects crawling\naround the rocks.	[title17][sentence]\n石頭四周\n爬滿了各種蟲子。
20715	[title21][sentence]\nYech!  Even if you could catch it you\ndon't need friends THAT badly.	[title21][sentence]\n噁！就算你抓得到，\n你也沒有缺朋友缺到那種地步。
11001	[title26][sentence]\nYou have the same eerie feeling that you had when your\nlast girlfriend locked you in the closet for leaving the toilet\nseat up.	[title26][sentence]\n你有種熟悉的詭異感，\n就跟你上一任女友因為你\n忘記把馬桶蓋放下，\n把你反鎖在衣櫃裡時一模一樣。
11002	[title20][sentence]\nThe cave ceiling is uninteresting.	[title20][sentence]\n洞穴的天花板沒什麼特別的。
11003	[title16][sentence]\nWhen you've seen one rock, you've seen them all.	[title16][sentence]\n看過一顆石頭，\n等於看過所有石頭。
11004	[title25][sentence]\nPerhaps they should be called 'enormous\nunliftable boulders'.  Get the point?	[title25][sentence]\n或許該叫它們\n「巨大到搬不動的石頭」。\n懂了嗎？
11005	[title25][sentence]\nIt looks long and dark.  There appears to be a\nsmall glimmer of light at the far end.	[title25][sentence]\n看起來又長又暗。\n盡頭似乎有一絲微光。
11006	[title22][sentence]\nThis is how you got here remember?	[title22][sentence]\n你就是這樣進來的，記得嗎？
11007	[title25][sentence]\nIsn't this the same type of growth that can be\nfound between your toes at the end of every month?	[title25][sentence]\n這不就跟你每個月月底\n腳趾縫裡長出來的東西一樣嗎？
11008	[title25][sentence]\nThese are not edible unless they're put on top of a\npizza.  Since nobody delivers in the immediate area,\nthey're useless.\n	[title25][sentence]\n這些東西不能吃，\n除非放在披薩上。\n既然這附近沒人外送，\n它們也就沒用了。\n
11101	[title20][sentence]\nImagine that, they still make cave floors\njust like they used to.	[title20][sentence]\n想想看，洞穴地板\n還是跟以前做的一模一樣。
11102	[title25][sentence]\nYou become very frightened until you \nrealize that it's just your reflection.	[title25][sentence]\n你嚇了一大跳，\n直到發現那只是你自己的倒影。
11103	[title22][sentence]\nThis would appear to be the way out.	[title22][sentence]\n這裡看起來就是出口。
11104	[title29][sentence]\nYou ponder how long it took\nfor these conical deposits to form.  You\nalso ponder what it would feel like to\ntrip and fall on one.	[title29][sentence]\n你尋思著這些錐形沉積物\n究竟花了多久才形成。\n你也順便想像了一下，\n要是被它絆倒摔上去會是什麼感覺。
11105	[title27][sentence]\nAs you can see, this is a bigger and more\nimproved version of the smaller stalagmites.	[title27][sentence]\n你也看得出來，\n這是比較小的鐘乳石的\n加大加強版。
11106	[title17][sentence]\nIt might be easier to rip an oak tree\nout of the ground.	[title17][sentence]\n把一棵橡樹連根拔起\n搞不好還比較容易。
20101	[title18][sentence]\nThe field is basically grassy.	[title18][sentence]\n這片田基本上都是草。
20102	[title25][sentence]\nThe rocks here are not very interesting.	[title25][sentence]\n這裡的石頭沒什麼特別的。
20103	[title27][sentence]\nThese odd looking plants seem to\nbe common on this island.	[title27][sentence]\n這些長相怪異的植物，\n在這座島上似乎很常見。
20104	[title27][sentence]\nThe sky is clear and blue.\nYou couldn't have asked for a\nnicer day.	[title27][sentence]\n天空清澈湛藍，\n再好不過的天氣了。
20105	[title26][sentence]\nThe water, like the sky, is clear and blue.\nIn the distance, you can see a small island.	[title26][sentence]\n海水和天空一樣清澈湛藍。\n遠方可以看到一座小島。
20106	[title26][sentence]\nIt appears to be volcanic.  You can't make\nout any details from this far away.	[title26][sentence]\n看起來像是座火山。\n離這麼遠，看不清楚細節。
20107	[title21][sentence]\nThis meteorological monstrosity appears capable\nof simultaneously reading the wind speed, barometric\npressure, relative humidity, your palm, and "Moby Dick".	[title21][sentence]\n這台氣象怪物似乎能\n同時測量風速、氣壓、\n相對濕度、幫你看手相，\n還能順便讀一遍《白鯨記》。
20108	[title19][sentence]\nThere are signs of heavy foot traffic \nbetween the weather station and that\nstrange booth.	[title19][sentence]\n氣象站和那個奇怪的\n小亭子之間，\n有明顯的踩踏痕跡。
20109	[title26][sentence]\nThe purpose of this contraption completely\nescapes you.  It appears to be a high-tech\nporta-potty, you can't help feeling it must\nserve some higher purpose.	[title26][sentence]\n這玩意兒的用途你完全猜不透。\n它看起來像台高科技行動廁所，\n但你總覺得它一定\n還有更崇高的目的。
20110	[title25][sentence]\nTo the south you see the hut which that\nlarge woman apparently lived in.  You can even smell it\nfrom here.  Blech!	[title25][sentence]\n南邊你看到一間小屋，\n那個大塊頭女人顯然就住在裡面。\n你甚至在這裡就聞得到味道。噁！
20111	[title20][sentence]\nThis small peninsula seems to be used\nby someone for monitoring weather conditions.	[title20][sentence]\n這個小半島似乎\n有人用來監測天氣狀況。
20112	[title24][sentence]\nThis is the booth that woman appeared and disappeared in.\nIt must be some sort of teleportation device.	[title24][sentence]\n這就是那個女人\n憑空出現又消失的小亭子。\n一定是某種傳送裝置。
20113	[title22][sentence]\nThis is definitely a teleporter booth.	[title22][sentence]\n這絕對是個傳送亭。
20114	[title25]WRONG NUMBER\nAs the machine reduces you to a scarlet puddle you hear a\ncold mechanical voice chanting: "We're sorry; your call cannot\nbe completed as dialed.  Please check the number and dial again."	[title25]號碼錯誤\n機器把你化成一灘猩紅水漥的同時，\n你聽見一個冰冷的機械音喃喃道：\n「很抱歉，您所撥的號碼是空號，\n請查明後再撥。」
20501	[title22][sentence]\nYou probably shouldn't draw so much attention\nto yourself.  You are not, after all, who she\nthinks you are.	[title22][sentence]\n你或許不該\n讓自己這麼引人注目。\n畢竟，你並不是\n她以為的那個人。
20502	[title22][sentence]\nYou are standing in what appears to be a small\nvillage.  There is only one person here, leaning\nagainst a hut.	[title22][sentence]\n你站在一個看起來像\n小村莊的地方。這裡只有\n一個人，靠在一間小屋旁。
20503	[title25][sentence]\nShe appears to be watching the chickens.	[title25][sentence]\n她似乎在看那些雞。
20504	[title25][sentence]\nThe huts are well made grass and thatch huts.\nOne appears to double as a chicken coop.	[title25][sentence]\n這些小屋是用茅草\n精心搭建的。其中一間\n似乎兼作雞舍。
20505	[title22][sentence]\nThe chickens are running around in ignorant\nbliss.  None of them seem to have\nconsidered WHY they are being fed so well.	[title22][sentence]\n這些雞渾然不知，\n樂得到處亂跑。\n牠們似乎沒有一隻想過，\n自己「為什麼」被餵得這麼好。
20506	[title27][sentence]\nEven if you could catch it you have no urge\nto carry around something that is alive and kicking.\nNever mind something that is clawing and pecking.	[title27][sentence]\n就算你抓得到，你也沒興趣\n抱著一隻活蹦亂跳的東西到處走，\n更別說是又抓又啄的東西了。
20507	[title21][sentence]\nThe chicken looks like it has been slowly roasting\non that spit all morning.  It looks like it is just about done.	[title21][sentence]\n這隻雞看起來已經在\n那根烤肉叉上慢烤了一整個早上，\n差不多快好了。
20508	[title26][sentence]\nThis fire pit looks ideal for roasting fowl.	[title26][sentence]\n這個火坑看起來很適合烤禽肉。
20509	[title19][sentence]\nAre you nuts?  That would hurt!	[title19][sentence]\n你瘋了嗎？那會很痛的！
20510	[title27][sentence]\nThe stream looks cool and inviting.\nEvery now and then you see a large\ndorsal fin glide by.	[title27][sentence]\n溪水看起來清涼誘人。\n你不時會看到一片\n巨大的背鰭滑過水面。
20511	[title22][sentence]\nOn the opposite bank you see a path\nleading through the trees.  The path \nlooks overgrown, as if  no one had used\nit in years.	[title22][sentence]\n對岸你看到一條小路\n穿過樹林。這條路看起來\n雜草叢生，像是已經\n多年沒人走過。
20512	[title21][sentence]\nThose little buggers would still be hungry if you\nfed them a herd of cattle.  Give it up.	[title21][sentence]\n就算餵牠們一整群牛，\n這些小傢伙大概還是會餓。\n死心吧。
20513	[title19][sentence]\nThey look numerous and hungry.	[title19][sentence]\n牠們看起來又多又餓。
20514	[title17][sentence]\nThis is obviously where the twinkifruits\ncome from.	[title17][sentence]\n這裡顯然就是\n甜滋果的產地。
20515	[title26][sentence]\nThe individual twinkifruits are not yet ripe, and\nthe bush is too big to carry around.	[title26][sentence]\n這些甜滋果都還沒熟，\n而且整叢灌木也大到\n沒辦法帶著走。
20516	[title25][sentence]\nHmmmm.  Didn't you see those odd-looking\nfish in the stream?  You need to be more careful.	[title25][sentence]\n嗯……你沒看到\n溪裡那些長相怪異的魚嗎？\n你得小心一點。
20517	[title22][sentence]\nYou aren't currently of the correct gender for\nthat type of activity.	[title22][sentence]\n你現在的性別\n不適合做那種事。
20518	[title16][sentence]\nYou discover nothing new.	[title16][sentence]\n你沒發現什麼新東西。
10201	[title27]BINOCULARS\nTaking your trusty binoculars off the hook reveals\na previously obscured portion of the poster.  You\nspend a few moments studying it.	[title27]望遠鏡\n把你那可靠的望遠鏡從掛鉤上取下，\n露出了海報先前被遮住的部分。\n你花了點時間仔細端詳。
10202	[title29][sentence]\nYou stare at the lamp...  You stare some more...\nRealizing you may soon spend the rest of your life\nwearing sunglasses and being led around by a dog\nyou decide to do something productive.	[title29][sentence]\n你盯著那盞燈……又盯了一會兒……\n意識到自己可能得\n戴著墨鏡、靠導盲犬帶路\n度過餘生，你決定\n做點有意義的事。
10203	[title27][sentence]\nMaybe if you stare at it long enough,\nsomething really important will happen\nthat will help you escape from this planet - NOT!	[title27][sentence]\n或許盯著它看久一點，\n就會發生什麼重要的事，\n幫你逃離這顆星球——\n才怪！
10204	[title17]LOOK THROUGH DOOR\nThe door leads back to the ship's\ncockpit.  If you walk towards it\n"real fast", it will open for you\nautomatically (honest it will).	[title17]透視艙門\n這扇門通往太空船的\n駕駛艙。如果你\n「用衝的」走向它，\n它就會自動幫你打開\n（真的，不騙你）。
10205	[title19][sentence]\nIf you were to walk in that direction,\nyou would wind up in the ship's engineering\nsection, where you could check out the\ndamage to the hyperdrive firsthand.	[title19][sentence]\n如果你往那個方向走，\n就會走到太空船的工程區，\n可以親眼看看躍遷裝置\n受損的狀況。
10206	[title24][sentence]\nBeing the man that you are you can't help\nbut to briefly pause and admire yourself in \nthe medicine cabinet mirror.  You are elated \nto see that the hideous cold sore you "earned"\nlast month has finally cleared up.	[title24][sentence]\n以你這種男人的個性，\n總忍不住要在醫藥箱鏡子前\n稍微駐足欣賞自己一番。\n你很高興地發現，上個月\n「賺到」的那顆噁心唇皰疹\n終於消了。
10207	[title27]MEDICINE CABINET\nWell, let's see... you've got a couple of\nold toothbrushes, a used up stick of deodorant\nfrom last year you were saving "for an\nemergency", and that festering pile of dried-up\ntoothpaste left over from when the 'Crust' tube\nexploded a couple of years ago.	[title27]醫藥箱\n嗯，讓我瞧瞧……有兩支舊牙刷、\n一條去年就用完、\n你留著「以備不時之需」的體香劑，\n還有幾年前那條『痂膏』牙膏\n爆漿後留下的一坨\n發黴乾掉的牙膏渣。
10208	[title22][sentence]\nThe door creaks open once again, revealing\n(once again) your sordid collection of\nbathroom implements.	[title22][sentence]\n門又嘎吱一聲打開，\n再次展現出你那堆\n不堪入目的衛浴用品收藏。
10209	[title27][sentence]\nThe medicine cabinet door creaks shut,\nand you remind yourself that one of these\ndays you're going to have to have that\ntoothpaste sandblasted off of the bottom\nshelf.  For now, though, you decide to let\nit ferment in peace.	[title27][sentence]\n醫藥箱門嘎吱一聲關上，\n你提醒自己，總有一天\n得把最底層那坨牙膏\n用噴砂機才刮得掉。\n不過現在，你決定\n讓它繼續安靜地發酵。
10210	[title27][sentence]\nIt's a cute little chair that you're\nsupposed to sit in while you eat dinner.\nYou never sit in it though, finding it\nmore convenient to drag a sandwich up\nto the cockpit and get crumbs all jammed\nin between the buttons on the console.	[title27][sentence]\n這是張可愛的小椅子，\n本來是給你吃晚餐時坐的。\n不過你從來沒坐過，\n覺得直接把三明治拖到\n駕駛艙吃比較方便——\n順便把餅乾屑塞滿控制台的按鈕縫。
10211	[title26][sentence]\nBetter not.  The many fluids that have been\nspilled on this chair have formed a new adhesive.\nYou might never get up again.	[title26][sentence]\n還是別坐好了。\n這張椅子上灑過的\n各種液體已經形成一種新型黏膠，\n你可能就再也起不來了。
