32004	[title19][sentence]\nThis must be where the guards monitor\nsecurity operations.	[title19][sentence]\n這裡應該就是警衛\n監控保全的地方。
35312	[title21][sentence]\nThe broken beam must have helped\nsupport part of the ceiling.  You don't\nwant to be standing here if it\ngives way.	[title21][sentence]\n這根斷掉的樑柱原本\n應該是撐著部分天花板的。\n萬一它整個垮下來，\n你可不想站在這裡。
35313	[title18][sentence]\nTo the north you see another\nroom through the doorway.	[title18][sentence]\n往北透過門口，你\n可以看到另一個房間。
35314	[title19][sentence]\nThe corridor leads south toward a four-way\nintersection.	[title19][sentence]\n這條走廊往南通往\n一個十字路口。
35315	[title25][sentence]\nYour friend has obviously been here.\nThe hallway is in sad shape.  There\nare no guards here, living or otherwise.	[title25][sentence]\n你朋友顯然來過這裡，\n走廊被弄得慘不忍睹。\n這裡沒有警衛，活的死的都沒有。
35316	[title25][sentence]\nThe floor is covered with debris\nfrom the walls, including a couple\nlarge chunks of rock.	[title25][sentence]\n地板上滿是牆壁\n崩落的碎片，\n還有幾塊大石塊。
35317	[title20][sentence]\nThe ceiling is covered with pipes.	[title20][sentence]\n天花板上佈滿了水管。
35318	[title26][sentence]\nThe walls here were obviously carved\nfrom the native rock.  They would be\ninteresting only to a geologist.\n	[title26][sentence]\n這裡的牆壁顯然是從\n原生岩石鑿出來的，\n大概只有地質學家\n會覺得有趣。\n
35410	[title33][sentence]\nThese controls run the hallway sensor arrays,\nwhich detect such things as temperature, humidity,\nand shoe and blouse clashes.	[title33][sentence]\n這些控制項負責操作走廊\n感測陣列，偵測溫度、\n濕度，還有鞋子跟上衣\n「撞色」之類的東西。
35411	[title25][sentence]\nThis must be a busy intersection.  The\nsignal is not currently operating, so you\nassume this is an off-peak hour.	[title25][sentence]\n這應該是個繁忙的路口。\n號誌現在沒在運作，\n你猜這是離峰時段。
35412	[title27][sentence]\nThese catwalks look like they\nmight be used for maintenance\npurposes.  They are well out\nof your reach.	[title27][sentence]\n這些天橋看起來\n是給維修人員用的。\n它們的位置\n你根本搆不到。
35413	[title21][sentence]\nYou don't remember this duct being\nconnected to the air shafts you crawled\nthrough.  It must be a return vent.	[title21][sentence]\n你不記得這根管道\n跟你爬過的通風井\n有連在一起，應該是回風口。
35414	[title24][sentence]\nYou are standing at the intersection\nof two hallways.  You notice a dead\nguard sitting under a devastated wall.	[title24][sentence]\n你站在兩條走廊的\n交叉口，注意到一具\n警衛的屍體，癱坐在\n倒塌的牆邊。
35415	[title26][sentence]\nThis corridor to the north appears\nto have suffered the same fate as\nthis corridor.	[title26][sentence]\n北邊這條走廊看起來\n遭遇了跟這條\n一樣的下場。
35416	[title25][sentence]\nThe corridor to the south has not\nbeen significantly damaged.  You\nsee an odd device down that way.	[title25][sentence]\n南邊的走廊沒有\n受到太大的損害，\n你看到那邊有個奇怪的裝置。
35417	[title25][sentence]\nThe corridor to the detention area has\nbeen severely damaged by your friend.	[title25][sentence]\n通往拘留區的走廊，\n被你朋友嚴重破壞了。
35418	[title30][sentence]\nThe corridor to the west has not been\ndamaged.  Your friend must not have\ngone that way.	[title30][sentence]\n西邊的走廊沒有受損，\n你朋友一定沒有\n往那個方向去。
35419	[title25][sentence]\nSomething hit the walls here pretty\nhard.  There are piles of debris\neverywhere.	[title25][sentence]\n有東西狠狠撞過\n這裡的牆壁，\n到處都是碎石堆。
35420	[title29][sentence]\nThis guard has not had a fun day.\nHer rifle has been broken in half,\nher legs look broken, and worst\nof all, her hair is messed up.\n	[title29][sentence]\n這個警衛今天過得\n很不順。她的步槍\n斷成兩截，腿看起來\n也斷了，最慘的是——\n頭髮還亂了。\n
35710	[title21][sentence]\nThis is the air vent you jimmied, then escaped\nthrough.  You don't need to worry about it any more\nnow that the cell block has been demolished.	[title21][sentence]\n這就是你當初撬開\n逃出去的那個通風口。\n牢房區都被拆了，\n你不用再擔心它了。
35711	[title22][sentence]\nYou don't need to do that.  You now\nhave free run of the detention area.	[title22][sentence]\n不需要這麼做了，\n你現在可以自由進出拘留區。
35712	[title27][sentence]\nLooking again at this awful bed you are\nglad you aren't going to have to sleep in it.	[title27][sentence]\n再看一眼這張爛床，\n你慶幸自己不用睡這裡了。
35713	[title33][sentence]\nEgad!  Look at all the stringy hair\nclumped together in the drain.  It's \njust like your sink, except that there\nisn't anything crawling around in it.	[title33][sentence]\n我的天！排水孔裡\n卡著一坨一坨的頭髮，\n跟你家水槽一樣——\n只差沒有東西在裡面爬。
35714	[title26][sentence]\nNoticing that the seat is down you\nquickly conclude that the last prisoner\nmust have been female.  You are\nmomentarily stunned by your own\nbrilliance.	[title26][sentence]\n看到馬桶蓋是放下來的，\n你立刻推論出上一個\n囚犯一定是女的。\n你被自己的\n聰明才智震懾了一下。
35715	[title25][sentence]\nYour cell has changed a bit since\nyou were last here.  You pal seems\nto have redecorated a bit.	[title25][sentence]\n你的牢房自從你\n離開後變了不少，\n你哥兒們似乎重新裝潢過了。
35716	[title25][sentence]\nThe back wall of this cell was obviously\ncarved from solid rock.  The other walls\nare made of a strong ferrous metal.	[title25][sentence]\n這間牢房的後牆\n顯然是從整塊岩石\n鑿出來的，其他牆則是堅固鐵金屬。
35717	[title26][sentence]\nPossibly the only thing in the room brighter\nthan yourself, the light bathes the room in\na sodium-orange glow.	[title26][sentence]\n這盞燈大概是全場\n除了你以外最亮的東西，\n把房間染成一片鈉黃色。
35718	[title17][sentence]\nEven the floor wasn't safe from\nthat beast's rampage.	[title17][sentence]\n就連地板也沒能\n逃過那隻怪物的暴走。
35719	[title17][sentence]\nThere are bits of wall and guard all\nover the place.	[title17][sentence]\n到處都是牆壁\n跟警衛的碎塊。
35720	[title29][sentence]\nTalk about useless stuff.  You\nbriefly consider taking some of\nthe debris, then come to your\nsenses and decide to move on.	[title29][sentence]\n說到沒用的東西……\n你一度考慮撿點\n瓦礫走，但很快\n恢復理智，決定放棄。
35721	[title29][sentence]\nThe corridor walls have suffered\nsome damage at the hands of your\nlarge friend.  There are occasional\npieces of guard splattered against\nthe walls to the west of you.	[title29][sentence]\n走廊的牆壁在你這位\n大個子朋友手下\n受了點損傷。\n西邊的牆上，\n偶爾還噴著幾片警衛的碎肉。
35722	[title27][sentence]\nThis leads to the medical examination\nroom.  There doesn't appear to be\nanyone in there.	[title27][sentence]\n這裡通往醫療檢查室，\n裡面似乎\n沒有半個人。
35723	[title30][sentence]\nDown the corridor you see much of the\nsame kind of damage you see here.  There\nare remnants of guards all over the place.\n	[title30][sentence]\n順著走廊看過去，\n損壞情況跟這裡\n差不多，到處都是警衛的殘骸。\n
35810	[title26][sentence]\nYou don't see anyone in that direction,\nbut the corridor looks badly damaged.	[title26][sentence]\n那個方向看不到人，\n但走廊損壞得很嚴重。
35811	[title22][sentence]\nThere's no one there.  The corridor\nhas been mostly demolished.	[title22][sentence]\n那裡沒有人，\n走廊幾乎全毀了。
35812	[title22][sentence]\nYou can't imagine your friend being\nable to lie down on this tiny thing.	[title22][sentence]\n你實在無法想像\n你朋友怎麼躺得下這麼小的床。
35813	[title25][sentence]\nThe sink is relatively clean except\nfor some crusty dried-up monster \nsaliva.	[title25][sentence]\n水槽算是滿乾淨的，\n只有一些乾掉結痂的\n怪物口水。
35814	[title27][sentence]\nIt's empty.  Maybe your friend\ngot thirsty?  You decide not to be\njudgmental as you remember\nsome of the things you've poured\ndown your throat.	[title27][sentence]\n是空的。也許你朋友\n口渴了？你決定不予置評——\n畢竟想想自己以前\n灌下肚的那些東西，\n你也沒資格說別人。
35815	[title16][sentence]\nThis cell looks remarkably like\nthe one you were in.	[title16][sentence]\n這間牢房看起來\n跟你之前那間很像。
35816	[title25][sentence]\nThe corridor here is as devastated\nas everything else that came\nbetween your friend and the\nteleporter he used to escape.	[title25][sentence]\n這裡的走廊跟你朋友\n逃跑路上經過的\n所有地方一樣，\n被破壞得一乾二淨。
35817	[title27][sentence]\nThe latch on this air vent hasn't\ncorroded at all.  This would be\ndifficult to open from the\nother side.  Fortunately you\ndon't need to worry about crawling\naround in air ducts any more.\n	[title27][sentence]\n這個通風口的門閂\n完全沒有生鏽，\n從另一邊要打開\n會很困難。幸好你\n再也不用擔心\n要爬通風管了。\n
35910	[title30][sentence]\nAs you look at the heavily stained walls\nyou are almost religiously thankful that\nthe large fellow was your friend.  There\nare two distinct shades of stain in the cell.\nYou suppose that the monster and his last\nmeal are both represented here.	[title30][sentence]\n看著這滿是污漬的牆壁，\n你幾乎要感謝上天，\n讓這個大傢伙是你朋友。\n牢房裡有兩種顏色的污漬，\n你猜這隻怪物\n跟牠的最後一餐都在這裡了。
35911	[title19][sentence]\nThis bed looks like it has been used for\na dining table.	[title19][sentence]\n這張床看起來\n被拿來當餐桌用了。
35912	[title25][sentence]\nThere are many unrecognizable chunks\nin the sink.  For the sake of your stomach\nyou decide to stare elsewhere.	[title25][sentence]\n水槽裡有很多\n認不出來的碎塊，\n為了你的胃，還是別看比較好。
35913	[title25][sentence]\nClean!  This monster that lived here\nmust have had some other way of\ndealing with waste.	[title25][sentence]\n很乾淨！住在這裡的怪物\n處理排泄物的方式，\n顯然跟一般不太一樣。
35914	[title19][sentence]\nWow!  Your friend sure lived up to his\npromise.  The beast that inhabited this\ncell looks like it had an unexpected\nencounter with a wood chipper.\nThere are pieces of monster all over the\nplace.  You notice some sort of card on\nthe floor amidst the stains.	[title19][sentence]\n哇！你朋友真的說到做到。\n住在這間牢房的怪物，\n看起來像是不小心\n撞上了碎木機。\n怪物的碎塊灑得到處都是。\n你注意到血漬中\n有張卡片之類的東西。
35915	[title20][sentence]\nWow!  Your friend sure lived up to his\npromise.  The beast that inhabited this\ncell looks like it had an unexpected\nencounter with a wood chipper.\nThere are pieces of monster all over the\nplace.	[title20][sentence]\n哇！你朋友真的說到做到。\n住在這間牢房的怪物，\n看起來像是不小心\n撞上了碎木機，\n碎塊灑得到處都是。
35916	[title22][sentence]\nThe corridor to the east is trashed.\nYou don't see anyone moving.	[title22][sentence]\n東邊的走廊一片狼藉，\n你沒看到任何動靜。
35917	[title27][sentence]\nYou don't see any guards down that\nway at the moment.  The corridor\nitself is in pretty bad shape.	[title27][sentence]\n那邊目前看不到\n任何警衛，走廊本身\n也是破爛不堪。
35918	[title26][sentence]\nThis limb looks humanoid, but you\ncan't be sure.  What's the difference\nanyway?  Parts is parts.	[title26][sentence]\n這條肢體看起來像人型，\n但你也說不準。\n反正殘肢就是殘肢，有差嗎？
35919	[title25][sentence]\nYou have no need for this\ndisgusting limb.	[title25][sentence]\n你用不著\n這條噁心的殘肢。
35920	[title26][sentence]\nYou cringe as you fish the card\nout of the gooey mound of bloody\nmonster flesh.	[title26][sentence]\n你一邊皺眉一邊\n把卡片從那坨黏糊糊\n的血肉堆裡挖出來。
35921	[title25][sentence]\nThis must have been worn by the\npoor guard this beast was\nsnacking on.	[title25][sentence]\n這應該是那個\n倒楣警衛的東西——\n就是被這隻怪物當點心吃掉的那個。
35922	[title25][sentence]\nThere are stains everywhere.  It appears\nYour large friend tore this beast into numerous little\nchunks and sprayed them all over the place.\nPartially imbedded in one of the mounds\non the floor is a small laminated card.	[title25][sentence]\n到處都是污漬。看樣子\n你的大個子朋友把這隻怪物\n撕成了無數小塊，\n噴得滿地都是。\n地上其中一堆裡，\n卡著一張小卡片。
35923	[title26][sentence]\nThere are stains everywhere.  It appears\nBud tore this beast into numerous little\nchunks, and sprayed him all over the place.	[title26][sentence]\n到處都是污漬。看樣子\n巴德把這隻怪物撕成了\n無數小塊，噴得滿地都是。
35924	[title26][sentence]\nThis was obviously part of the wall before\nyour friend came through here.	[title26][sentence]\n這原本顯然是牆壁的一部分，\n在你朋友經過之前。
35925	[title19][sentence]\nYou quickly decide not to carry\naround construction supplies.	[title19][sentence]\n你很快就決定\n不要隨身帶著建材走。
35926	[title27][sentence]\nYour friend must have been in a destructive\nmood to have torn the floor up like that.	[title27][sentence]\n你朋友那時心情\n一定很想搞破壞，才會把地板撕成這樣。
35927	[title25][sentence]\nThe corridor here is in sad shape.\nPieces have been ripped from the walls;\nparts of the floor have been torn up.  Your\nfriend definitely has a violent streak.	[title25][sentence]\n這裡的走廊慘不忍睹，\n牆壁被撕下一塊塊，\n地板也被撕開。\n你朋友絕對有暴力傾向。
35928	[title25][sentence]\nThe floor is covered with red stains\nand miscellaneous chunks of monster.\nPartially imbedded in one little puddle\nis some sort of laminated card.	[title25][sentence]\n地板上滿是紅色污漬\n和各種怪物碎塊。\n其中一小灘裡，\n卡著一張塑膠卡片。
35929	[title25][sentence]\nThe floor is covered with red stains\nand various-sized chunks of monster.\n	[title25][sentence]\n地板上滿是紅色污漬，\n還有大小不一的怪物碎塊。\n
36010	[title25][sentence]\nThe corridor to the west has been torn to pieces.\nThere are no guards in sight.	[title25][sentence]\n西邊的走廊已經\n被撕得四分五裂，看不到任何警衛。
36011	[title25][sentence]\nThe corridor to the east is in even worse\nshape than this one.  You don't see\nany movement down that way.	[title25][sentence]\n東邊的走廊比這裡\n更慘。你沒看到\n那個方向有任何動靜。
36012	[title21][sentence]\nThis bed is clean.  It looks unused.	[title21][sentence]\n這張床很乾淨，\n看起來沒人用過。
36013	[title17][sentence]\nThe sink is clean and empty.	[title17][sentence]\n水槽乾淨又是空的。
36014	[title21][sentence]\nYou have sudden flashbacks of\nmany religious experiences in close\nproximity to this type of plumbing\nhardware.  As reality summons you\nback you note only that the toilet\nis clean.	[title21][sentence]\n你突然回想起許多\n跟這類衛浴設備\n有關的「宗教體驗」。\n等你回過神來，\n只注意到馬桶\n是乾淨的。
36015	[title20][sentence]\nThe cell is empty and the damage\nsurrounding it is minimal.	[title20][sentence]\n這間牢房是空的，\n周圍的損害也不大。
36016	[title22][sentence]\nThe air vent is closed and the\nlatch is in good shape.  Fortunately\nyou won't be needing to crawl around\nin there any more.	[title22][sentence]\n通風口是關著的，\n門閂狀況良好。\n幸好你再也\n不用爬進去了。
36017	[title21][sentence]\nThe corridor has been damaged by the\npassage of a certain large and angry sauropod.	[title21][sentence]\n這條走廊的損壞，\n是某隻暴怒蜥腳龍經過造成的。
36018	[title26][sentence]\nThe damage to the walls here is\nextensive.  It's going to take a lot\nof work to repair this hallway.\n	[title26][sentence]\n這裡牆壁的損壞\n相當嚴重，修好這條\n走廊得花不少功夫。\n
36110	[title25][sentence]\nOn the desk you see a pair of monitors,\nsome papers, and the stale remains\nof a doughnut.  The system the monitors\nwere hooked up to has stopped working.	[title25][sentence]\n桌上有一對螢幕、\n一些文件，還有\n風乾的甜甜圈殘骸。\n螢幕連接的系統已經停擺。
36111	[title26][sentence]\nThe rear wall is carved out of native rock, much\nlike the cell you just escaped from.  The walls\nin the hallway show signs of damage from\nthe violent passage of your large friend.	[title26][sentence]\n後牆是從原生岩石鑿出來的，\n跟你剛逃出的牢房很像。\n走廊牆上留著你那位\n大個子朋友粗暴經過的痕跡。
36112	[title30][sentence]\nThe thought that the same interior decorator\nwho chose 'early Mesozoic igneous' decor\nfor the back wall chose 'art deco' for these\nlighting fixtures.  Falling objects pretty well\ndestroyed these fixtures.	[title30][sentence]\n你心想，幫後牆選了\n『中生代火成岩』風格的\n室內設計師，大概也是\n替這些燈具選了\n『裝飾藝術』風。掉落的\n雜物把它們砸壞了。
36113	[title19][sentence]\nThe panels of white lights keep this room\nextremely well lit.	[title19][sentence]\n這片白光燈板\n把房間照得非常亮。
36114	[title22][sentence]\nYou don't have any need for forty feet of\nfluorescent light fixtures.	[title22][sentence]\n你用不著\n十二公尺長的日光燈具。
36115	[title26][sentence]\nThe little bulb dangling from a wire\nin the middle of the room is dwarfed\nby the light panels on either side.  This\nmust have been left here by the original\nconstruction crew.	[title26][sentence]\n房間中央用電線吊著的\n那顆小燈泡，\n在兩側大燈板的對比下\n顯得特別渺小。\n這應該是當初\n施工隊留下來的。
36116	[title21][sentence]\nAttempting to steal this little light bulb\nwould accomplish little.	[title21][sentence]\n想偷這顆小燈泡\n也不會有什麼收穫。
36117	[title32][sentence]\nYour pal pretty much killed everything that\ninhabited the immediate area.  You don't need\nto worry about any guards out there.	[title32][sentence]\n你朋友幾乎把附近\n所有活物都解決了，\n不用擔心那邊還有警衛。
36118	[title16][sentence]\nYou don't see any signs of life in that direction.	[title16][sentence]\n那個方向看不到任何生命跡象。
36119	[title22][sentence]\nThe equipment in this room has been rendered\nuseless.  Your large friend did quite a good\njob of trashing the place.	[title22][sentence]\n這個房間裡的設備\n全都報廢了，你那位\n大個子朋友砸得很徹底。
36120	[title26][sentence]\nYou pretty much destroyed the latch when\nyou kicked the grate open.  You shouldn't\nhave any trouble getting it open again.  Of\ncourse the absence of any living guards\nprobably  means you don't need to crawl\naround in air ducts any more.\n	[title26][sentence]\n你當初一腳把柵門踢開時，\n門閂差不多也毀了，\n要再打開應該不成問題。\n不過反正這裡\n已經沒有活著的警衛，\n你大概也不用\n再爬通風管了。\n
36610	[title26][sentence]\nYou see some strange machinery in there.\nThat must be some kind of equipment room.	[title26][sentence]\n你看到裡面有些\n奇怪的機械，那應該是某種設備室。
36611	[title26][sentence]\nConsidering what it did to you earlier, that\nmust be the infamous gender bender!	[title26][sentence]\n想到它先前對你做的事，\n那一定就是惡名昭彰的錯體機！
36612	[title20][sentence]\nSince the latch is already broken,\nyou gently push open the grate.	[title20][sentence]\n反正門閂已經壞了，\n你輕輕一推就把柵門打開。
36613	[title33][sentence]\nYour first kick serves only to\nannoy your already-sore ankle.\nFortunately, your second kick destroys\nthe latch and the grate swings open.\n	[title33][sentence]\n你第一腳只是讓\n本來就很痛的腳踝\n更火大而已。幸好\n第二腳就踢壞了門閂，\n柵門應聲彈開。\n
38710	[title19][sentence]\nThis was your cell for a while.  You do not\nmiss it at all.	[title19][sentence]\n這裡曾經是你的\n牢房，你一點也不懷念。
38711	[title27][sentence]\nWhen you climbed in here you let\nthe air vent shut behind you, and the\nlatch closed again.  You give it a few\nkicks, but the latch is too strong.\n	[title27][sentence]\n你爬進來的時候\n讓通風口在身後關上，\n門閂又扣回去了。\n你踢了幾腳，\n但門閂太堅固了。\n
38810	[title24][sentence]\nThis is your friend's cell.  He doesn't\nlook very happy sitting there.  You get the\ndistinct feeling he would be much happier\nif he were ripping guards up and destroying\nthings.	[title24][sentence]\n這是你朋友的牢房。\n他坐在那裡，看起來\n不太開心。你有種強烈的\n預感，要是讓他去\n撕警衛、砸東西，\n他一定會開心得多。
38811	[title17][sentence]\nThis was your friend's cell before\nyou released him.	[title17][sentence]\n這裡是你放他出來\n之前，你朋友待的牢房。
38812	[title25][sentence]\nYou give the grate a couple good kicks,\nbut the latch on the other side is just\ntoo strong.  You decide that you aren't\nterribly interested in climbing into this\ncell anyway.	[title25][sentence]\n你朝柵門用力踢了\n兩腳，但另一邊的\n門閂太堅固了。\n你決定反正自己\n也沒多想爬進這間牢房。
38910	[title32][sentence]\nThat horrible monster is in there\nbusily eating some unfortunate guard.\nThe sounds he is making in the process\nare turning your stomach.	[title32][sentence]\n那隻恐怖的怪物在裡面，\n正忙著吃某個倒楣的警衛。\n牠發出的聲音\n讓你反胃。
38911	[title25][sentence]\nThere are pieces of guard and monster\nscattered all over the cell.  Something\nshiny on the floor catches your eye, but\nyou can't make it out from here.	[title25][sentence]\n牢房裡到處散落著\n警衛跟怪物的碎塊。\n地上有個閃亮的東西\n吸引了你的目光，\n但你從這裡看不清楚。
38912	[title25][sentence]\nThere are pieces of guard and monster\nscattered all over the cell.  It's truly\ndisgusting.	[title25][sentence]\n牢房裡到處散落著\n警衛跟怪物的碎塊，\n實在噁心到不行。
38913	[title26][sentence]\nBriefly considering the fate\nof the guard in that cell you decide\nthat you like having something\nmetallic between you and that\ncreature.	[title26][sentence]\n稍微想了一下那間\n牢房裡警衛的下場，\n你決定還是喜歡\n有個金屬柵欄\n擋在你跟那隻怪物之間。
38914	[title29][sentence]\nYou give the grate a couple kicks\nand discover that it is stronger than\nyou are.\n	[title29][sentence]\n你朝柵門踢了幾腳，\n結果發現它\n比你還硬。\n
39010	[title21][sentence]\nThere is nothing interesting about\nthis cell.  It is completely empty.	[title21][sentence]\n這間牢房沒什麼\n特別的，完全是空的。
39011	[title24][sentence]\nYou give the grate a couple kicks\nbut it does not give way.  In\nfrustration you kick it a few more\ntimes, which serves only to hurt\nyour ankle.	[title24][sentence]\n你朝柵門踢了幾腳，\n但它紋風不動。\n你不甘心又多踢了\n幾下，結果只是\n把自己的腳踝踢痛而已。
