1	[title26][sentence]\nWhy would you want to do a wretched thing\nlike that?	[title26][sentence]\n你幹嘛沒事找罪受，\n做這種缺德事？
800	[title20]BINOCULARS\nThis is a handy pair of StarTech\n"Planetary Explorer" binoculars, adjustable\nfor 10x through 30x magnification.	[title20]望遠鏡\n這是一副星際科技出品的\n「行星探險家」望遠鏡，\n倍率可調10到30倍，相當\n好用。
801	[title15]BURGER\nThis is a festering mass of congealed\nfungus that you knew in former times as a\nhamburger.	[title15]漢堡\n這坨發霉凝結的真菌，\n你依稀記得它曾經\n是個漢堡。
802	[title24]DEAD FISH\nThis is your basic, bloated, dead fish.\nAlthough it is of an alien species, it is\njust as disgusting as any dead fish you\nhave encountered on more familiar worlds.	[title24]死魚\n這是條再普通不過、腫脹\n發臭的死魚。雖然是外星\n品種，噁心程度跟你在\n熟悉世界見過的死魚\n不相上下。
803	[title26]STUFFED FISH\nApparently the dead fish wasn't disgusting\nenough for you, so you have jammed that\nfestering burger down its throat, with\ntruly appalling results.	[title26]塞料死魚\n看來死魚還不夠噁心，\n於是你把那坨發霉漢堡\n硬塞進牠喉嚨，成果\n慘不忍睹。
804	[title26]REBREATHER\nThis is an oxygen rebreather you picked up on\nCowplug VIII while you were stranded there\nfixing your hyperdrive shunt.  Easily the\nclassiest way to see the Great Bovine Reefs\nup close.	[title26]水中呼吸器\n這是你在牛塞八號星\n拋錨修理超空間分流器\n時順手撈到的水中呼吸器，\n近距離觀賞大牛角礁，\n這絕對是最有格調的\n方式。
805	[title22]TIMER MODULE\nThis timer module was an integral part of your\nship until you crash landed here.  It still works,\nbut you probably shouldn't bet your life on it's\naccuracy.	[title22]計時模組\n這個計時模組原本是你\n太空船的一部分，直到\n你墜機在這裡。它還能動，\n不過準不準，你可別\n拿命去賭。
806	[title32]BIG LEAVES\nThe large green leaves barely fit in your\npockets.  They have strong veins and\nlook a bit like spinach leaves.	[title32]大葉子\n這幾片綠色大葉子勉強\n塞得進口袋，葉脈粗壯，\n有點像菠菜葉。
807	[title32]POISON DARTS\nThe tips of these blowgun darts have\nbeen treated with chemical that when\nintroduced into the bloodstream causes\nrapid cranial contractions.	[title32]毒鏢\n這些吹箭鏢的尖端塗有\n化學藥劑，一旦進入\n血液，會讓頭顱急速\n收縮。
808	[title32]PLANT STALK\nThis plant stalk has been lying on the ground\nfor a while.  The center has rotted out, leaving\na long round tube-like outer shell.	[title32]植物莖\n這根植物莖已經在地上\n躺了一陣子，中心早已\n腐爛，只剩下一根\n中空的長條外殼。
809	[title32]BLOWGUN\nThis handy little blowgun is the perfect\ntool for propelling darts toward a target.	[title32]吹箭筒\n這支小巧的吹箭筒，\n正是把鏢射向目標的\n最佳工具。
810	[title32]TWINKIFRUIT\nThis luscious little fruit looks almost too good\nto be organic.  Something this tasty ought to\ncome in a cellophane wrapper.  It's a safe bet\nthat this is the tastiest, yummiest, most delicious\nsnack on the entire island.	[title32]甜滋果\n這顆多汁的小果子好吃\n到不像天然食物，這麼\n美味的東西應該要用\n玻璃紙包裝才對。可以\n打包票，這絕對是全島\n最好吃的零食。
811	[title32]BONE\nIt's not big enough to be a femur, nor is it\nsmall enough to be a finger.  You're not exactly\nsure what kind of bone this is.	[title32]骨頭\n說是大腿骨嫌小，說是\n手指骨又嫌大，你也\n說不準這到底是哪根\n骨頭。
812	[title32]CHICKEN\nThis juicy, golden-brown, roasted chicken makes\nyour mouth water.	[title32]烤雞\n這隻多汁金黃的烤雞，\n讓你看了直流口水。
813	[title32]SCALPEL\nThis surgical steel scalpel is quite sharp.  It also\nappears to be very strong.  You should be careful\nwith this.	[title32]手術刀\n這把醫療鋼手術刀相當\n鋒利，看起來也很堅固，\n拿的時候小心點。
814	[title32]AUDIO TAPE\nThis standard ninety-minute audio tape is light\nand compact.	[title32]錄音帶\n這捲標準九十分鐘錄音帶，\n輕巧好攜帶。
815	[title32]CREDIT CHIP\nThis looks like an honest-to-goodness credit\nchip!  If you started paying all your bills you\ncould probably qualify for one of these--in about 20 years.	[title32]信用晶片\n這看起來是張如假包換的\n信用晶片！要是你開始\n乖乖繳帳單，大概再過\n二十年就能申請到一張。
816	[title32]SECURITY CARD\nThe woman on the card has a cold stare.  You take\ncomfort in the fact that she's monster food now.  The\nsecurity card has a small magnetic strip on it.	[title32]保全卡\n卡片上的女人眼神冷冽，\n不過想到她現在已經是\n怪物的食物，你就稍微\n安心了點。卡片上有條\n小磁條。
817	[title32]CHARGE CASES\nThese military compression cases are normally\nused to contain explosive charges.  In their\ncurrent state of emptiness they are about as\ndangerous as coffee cans.	[title32]裝藥盒\n這種軍規壓縮盒平常是\n用來裝炸藥的，現在\n空空如也，危險程度\n大概跟咖啡罐差不多。
818	[title32]<Deleted: Estrotoxin>\nOne day, this object will have a name.	[title32]<Deleted： Estrotoxin>\n總有一天，這個物件\n會有個名字。
819	[title32]BOMB\nThe detonator on this bomb looks sensitive.\nYou should be careful that you don't drop it.	[title32]炸彈\n這顆炸彈的引爆器看起來\n很敏感，千萬別手滑\n摔到它。
820	[title32]TIME BOMB\nBy wiring your old timer module to the detonator\non this baby you have created a makeshift time bomb.	[title32]定時炸彈\n把舊計時模組接上這寶貝\n的引爆器，你就湊出了一顆\n克難定時炸彈。
821	[title32]REPAIR LIST\nRight now you SHOULD be reading it.	[title32]維修清單\n你現在「應該」要讀的\n就是這個。
822	[title32]ALIEN LIQUOR\nThis looks like punchy stuff.  You never know what\nto expect with booze from other planets.  From the\nclarity of the liquor, you assume it to be about 195\nproof.	[title32]外星烈酒\n這玩意兒後座力十足，\n外星酒你永遠猜不透。\n看這酒色的清澈程度，\n你猜大概有195度。
823	[title32]TARGET MODULE\nThe quality of the target module impresses you.  With\nthis thing running a small ship's fire control computer,\nyou would be able to hit almost anything--hard and fast.	[title32]瞄準模組\n這個瞄準模組的品質讓你\n印象深刻。裝上小型太空船\n的射控電腦，幾乎什麼\n目標都能又快又準地\n命中。
824	[title21]SHIELD MODULATOR\nThis type of shield modulator can increase the performance\nof defensive screens by rapidly diverting power to the\npoint of impact.  Without one of these on the Pig,\nyou probably wouldn't be alive right now.	[title21]護盾調變器\n這種護盾調變器能把能量\n快速引導到受擊點，藉此\n提升防禦力場的效能。\n「油豬號」要是沒裝這個，\n你現在大概已經不在\n人世了。
825	[title32]TAPE PLAYER\nThis state-of-the-art stereophonic tape player features\nlong-throw titanium-cone woofers, a 26-band tuner which\nincludes those hard to find bands such as gamma and graviton wave,\nand a built-in atomic power plant that renders batteries\nobsolete.	[title32]錄音機\n這台最先進的立體聲錄音機\n配備長衝程鈦振膜低音喇叭、\n26波段調諧器（連珈瑪波、\n重力波這種冷門波段都收得到）\n還內建原子動力爐，電池\n什麼的早就過時了。
826	[title32]PHONE CELLS\nThese look like standard double-Q sized batteries,	[title32]電話電池\n這看起來是標準雙Q號\n電池，
827	[title32]PENLIGHT\nThis hand-held penlight would be convenient if\nit weren't quite so large.  They must have big\npens on this planet.	[title32]筆型手電筒\n這支手持筆型手電筒要是\n沒那麼大支，會方便\n不少。看來這星球的筆\n都特別粗。
828	[title32]"DURAFAIL" CELLS\nThis pair of double-Q batteries bear the\n"only name to trust your battery needs to."\nRight.	[title32]「勁掛」電池\n這對雙Q號電池自稱是\n「唯一能信任你電力\n需求的品牌」。是喔。
829	[title32]FAKE ID CARD\nThe quality of this ID appalls you.  That\nit may actually work around here strikes you\nas nothing less than miraculous.	[title32]假證件\n這張證件的做工爛到讓你\n傻眼，如果在這裡真的\n能矇混過關，那簡直\n是奇蹟。
830	[title32]ID CARD\nNow this is a decent ID.  It appears that\nBuck had a decent security clearance too.	[title32]證件\n這張證件像樣多了。看來\n巴克的保全權限等級\n也不差。
831	[title32]POLYCEMENT\nThis fast-drying all-purpose cement can be\nused to repair broken plates, broken auto body panels,\nbroken teeth, and possibly broken marriages.	[title32]強力膠\n這罐快乾萬能膠水能修\n破盤子、修烤漆掉了的\n車身板件、修斷牙，\n搞不好還能修婚姻。
832	[title32]FISHING ROD\nThis quaint little fishing rod reminds you of\nweekends spent fishing with your uncle.\nOf course, all you ever caught was the flu.	[title32]釣竿\n這根復古小釣竿讓你想起\n跟叔叔一起釣魚的週末。\n當然，你每次的漁獲\n只有感冒。
833	[title32]FISHING LINE\nThis is the thin nylon line you removed\nfrom the fishing rod.	[title32]釣魚線\n這是你從釣竿上拆下來\n的細尼龍線。
834	[title32]PADLOCK KEY\nManufactured from something vaguely resembling\nbrass, this key has fared well over the years.\nIt is heavy for it's size.	[title32]掛鎖鑰匙\n這把鑰匙由某種類似黃銅\n的材質製成，歷經歲月\n保養得還不錯，以它的\n尺寸來說相當沉。
835	[title32]DOOR KEY\nThis thin door key has the word "Schludge" engraved\non it.	[title32]門鑰匙\n這把薄門鑰匙上刻著\n「史拉奇」幾個字。
836	[title32]REARVIEW MIRROR\nYou lifted this mirror from a\nrepair shop.  It is too small for a spaceship,\nbut it could be useful as a shaving mirror.	[title32]後照鏡\n這面鏡子是你從修車廠\n順來的。當太空船後照鏡\n太小了，不過拿來刮鬍子\n倒是剛好。
837	[title32]COMPACT\nYou never expected to find yourself carrying\none of these around.  The blush is a little dark\nfor you, but the mirror is in good shape.	[title32]粉餅盒\n你從沒想過自己會隨身\n帶著這種東西。腮紅色號\n對你來說深了點，不過\n鏡子倒是完好無缺。
838	[title32]<Deleted: Magnet>\nOne day, this object will have a name.	[title32]<Deleted： Magnet>\n總有一天，這個物件\n會有個名字。
839	[title32]DETONATORS\nThese are military-grade detonators; they\nare extremely sensitive.  An electrical charge\nin the right place or a sudden jolt would set\nthese right off.  The four-prong design ensures proper\nignition of an explosive charge.	[title32]雷管\n這是軍規雷管，極度敏感，\n只要通對地方的電，或是\n一個突然的震動，就會\n立刻引爆。四爪設計能\n確保炸藥確實點燃。
840	[title32]BOTTLE\nThis dirty old bottle had the audacity to be\nfloating around without a message in it.	[title32]瓶子\n這個又髒又舊的瓶子，\n裡面竟然沒有夾張紙條，\n膽子真大。
841	[title32]CHICKEN BOMB\nThis incendiary fowl is sufficiently\ndangerous to warrant great care.  You\nmay want to stop nibbling off of it now.	[title32]雞肉炸彈\n這隻縱火用的家禽危險性\n不容小覷，你最好現在\n就別再啃了。
842	[title32]VASE\nThe beautiful lavender vase is worth\na lot of money to you.  After all you\nwent through to get hold of it you\nwouldn't want to drop it.	[title32]花瓶\n這只淡紫色花瓶美得很，\n對你來說也值不少錢。\n你費了那麼大勁才弄到手，\n可千萬別摔了它。
843	[title32]REMOTE\nThis odd-looking remote control has only\none button on it.  It also has a small\ninscription on the side: "Please return\nto Goldenpipe Space Port".  Hmmm.	[title32]遙控器\n這個造型古怪的遙控器\n只有一顆按鈕，側邊還刻著\n一行小字：「請歸還黃金管\n太空港」。嗯……
844	[title32]<Deleted: Game>\nOne day, this object will have a name.	[title32]<Deleted： Game>\n總有一天，這個物件\n會有個名字。
845	[title32]HANDSET\nThe telephone handset is small and light,\nas you would expect something portable\nto be.	[title32]話筒\n這支電話話筒輕巧小巧，\n正如你對「可攜式」\n這三個字的想像。
846	[title32]BONES\nThey're not big enough to be femurs, nor are they\nsmall enough to be fingers.  You're not exactly\nsure what kind of bones these are.	[title32]骨頭\n說是大腿骨嫌小，說是\n手指骨又嫌大，你也\n說不準這些到底是哪些\n骨頭。
847	[title32]GUARD'S ARM\nYech!  This arm is starting to get stiff.\nYou instinctively notice the lack of a\nwedding band.	[title32]守衛的手臂\n噁！這隻手臂開始僵硬了。\n你下意識注意到，它\n沒戴婚戒。
848	[title32]Voice-Activated Auto-Transcribing Audio Log\n[center]Beezlebody's Novelty Shop\n[center]Asteroid 80791-G (orbiting Bageljuice IX)\n[center]\n[center]Cover: 100% Genuine Leather	[title32]語音啟動自動謄寫錄音日誌\n[center]別西怪玩具店\n[center]小行星80791-G\n（環繞貝果汁九號星軌道）\n[center]\n[center]封面材質：100%純皮革
849	[title32]BOMBS\nThe detonators on these bombs look rather sensitive.\nYou should be careful that you don't drop them.	[title32]炸彈\n這些炸彈的引爆器看起來\n相當敏感，千萬別\n手滑摔到它們。
850	[title32]NOTE\nIf you can read this then you should call Brian Reynolds\nat MicroProse Software and tell him you found a bug.	[title32]紙條\n如果你看得懂這行字，\n記得打給MicroProse\nSoftware的Brian\nReynolds，跟他說你\n抓到一個bug。
851	[title32]COMBINATION\nAh ha!  You have a pretty good idea what\nthis is!  Right, left, right, left, these must be\ndirections to somewhere in the city.	[title32]密碼\n哈！你大概猜到這是什麼\n了！右、左、右、左，\n這應該是城裡某個地方\n的路線指示。
852	[title32]FORMALDEHYDE\nYou get a whiff of the formaldehyde, and begin\nto have an olfactory flashback.  Images of\nlong-dead frogs flash through your mind.	[title32]福馬林\n你聞到福馬林的味道，\n嗅覺瞬間把你拉回過去，\n腦海閃過一堆早已\n作古的青蛙畫面。
853	[title32]PETROX\nThis stuff can be used to power spacecraft.\nYou should be VERY careful with it.	[title32]貝托克斯\n這玩意兒能拿來當太空船\n燃料，處理時「務必」\n非常小心。
854	[title32]LECITHIN\nHmmm. Phosphatides extracted from\negg-yolk no doubt.	[title32]卵磷脂\n嗯……八成是從蛋黃\n萃取出來的磷脂質。
860	[title32]CHARGE CASES\nThese military compression cases are normally\nused to contain explosive charges.  They are\ncurrently full of "Pyro's special".  Remember\nwhat happened to her when she dropped some\nof this stuff . . . .	[title32]裝藥盒\n這種軍規壓縮盒平常是\n用來裝炸藥的，現在裝滿\n了「派羅特調」。記得\n她之前失手摔了一些\n之後發生了什麼事……
861	[title32]HANDSET\nThe telephone handset is small and light,\nas you would expect something portable\nto be, particularly with the batteries out.	[title32]話筒\n這支電話話筒輕巧小巧，\n正如你對「可攜式」\n這三個字的想像，畢竟\n電池都被拿掉了。
862	[title32]FISHING ROD\nThis quaint little fishing rod reminds you of\nweekends spent fishing with your uncle.\nIt is not currently of any use, since you\nremoved the fishing line.	[title32]釣竿\n這根復古小釣竿讓你想起\n跟叔叔一起釣魚的週末。\n不過現在派不上用場，\n因為釣魚線已經被你\n拆掉了。
863	[title32]BOTTLE\nThis dirty old bottle had the audacity to be\nfloating around without a message in it.\nThe bottle is about one quarter full of water.	[title32]瓶子\n這個又髒又舊的瓶子，\n裡面竟然沒有夾張紙條，\n膽子真大。瓶裡大概裝了\n四分之一瓶水。
864	[title32]BOTTLE\nThis dirty old bottle had the audacity to be\nfloating around without a message in it.\nThe bottle is about half full of water.	[title32]瓶子\n這個又髒又舊的瓶子，\n裡面竟然沒有夾張紙條，\n膽子真大。瓶裡大概裝了\n半瓶水。
865	[title32]BOTTLE\nThis dirty old bottle had the audacity to be\nfloating around without a message in it.\nThe bottle is about three quarters full of water, which\nis starting to make it too heavy to carry around.	[title32]瓶子\n這個又髒又舊的瓶子，\n裡面竟然沒有夾張紙條，\n膽子真大。瓶裡大概裝了\n四分之三瓶水，開始\n重得有點難帶著走。
866	[title32]BOTTLE\nThis dirty old bottle had the audacity to be\nfloating around without a message in it.\nThe bottle is full of water, which is starting to\nmake it too heavy to carry around.	[title32]瓶子\n這個又髒又舊的瓶子，\n裡面竟然沒有夾張紙條，\n膽子真大。瓶裡裝滿了水，\n重得開始難帶著走。
867	[title32]TAPE PLAYER\nThis state-of-the-art stereophonic tape player features\nlong-throw titanium-cone woofers, a 26 band-tuner which\nincludes those hard to find bands like gamma and graviton wave,\nand a built-in atomic power plant that renders batteries\nobsolete.  There is a small audio tape in the tape player.	[title32]錄音機\n這台最先進的立體聲錄音機\n配備長衝程鈦振膜低音喇叭、\n26波段調諧器（連珈瑪波、\n重力波這種冷門波段都收得到）\n還內建原子動力爐，電池\n什麼的早就過時了。錄音機\n裡還有一捲小錄音帶。
401	[title32]PLAY AUDIO TAPE\nYou hear a feminine voice dictating:\n[center]\n"Entry 21 . . . 28 Bicuspidor 90919 . . . Project KABLOOEY . . . Professor\nIhma Pyro reporting.  This batch will be called 'LOT 7'.  It is essentially\nLOT 6 with a higher petrox concentration.  I'll start by adding a [index0]\nof [index4] . . . O.K., then a [index1] of [index5] and a gentle stir.  That\nlooks pretty good.  Now the [index6]; just a [index2].  Another gentle stir.\nAll right.  Finally, a [index3] of [index7].  O.K., this batch looks good.\nI am transporting the mixture to the processing bench where I will--OOPS!"\n[center]<BLAM!>\n[center]\nThe rest of the tape is silent.	[title32]播放錄音帶\n你聽見一個女性的聲音\n正在口述：\n[center]\n「第21筆紀錄……畢庫斯波多\n曆90919年28日……轟毀計畫……\n這裡是艾瑪‧派羅教授。這批\n就叫『七號批』，基本上是\n六號批加高貝托克斯濃度的\n版本。我先加一[index0]\n[index4]……好，接著加一\n[index1][index5]，輕輕攪拌。\n看起來不錯。現在加[index6]，\n只要一[index2]就好。再輕輕\n攪拌一次。好了。最後加一\n[index3][index7]。嗯，這批\n看起來不錯。我現在要把\n混合物搬去處理台，我要——\n哎呀！」\n[center]〈轟！〉\n[center]\n錄音帶接下來一片寂靜。
402	[title32][sentence]\nThis computer printout appears to be a list of teleporters and their\nmaintenance status.  Reading the list you learn that teleporters [number0],\n[number1], [number2], and [number3] have been taken off-line pending repairs;\nunits [number4] and [number5] have been recently tuned; units [number6] and\n[number7] are in need of minor adjustments; and that the gender-security\nmodule in unit [number8] is due for scheduled maintenance.	[title32][sentence]\n這張電腦報表似乎是傳送\n器的維修狀態清單。讀完\n之後你得知：[number0]、\n[number1]、[number2]、\n[number3]號傳送器因待修\n而離線；[number4]號和\n[number5]號最近才校準過；\n[number6]號和[number7]號\n需要小幅調整；而\n[number8]號的性別安全\n模組則排定要進行\n例行保養。
403	[title32][sentence]\nYou wire the detonators to the explosives\ninside the charge cases.  You now have a\nfine pair of bombs.	[title32][sentence]\n你把雷管接上裝藥盒裡的\n炸藥，湊出了一對\n像樣的炸彈。
404	[title32][sentence]\nYou hook the timer module onto the end\nof the bomb, and wire it to the detonator.\nThis should now function as a crude time\nbomb once you activate the timer module.	[title32][sentence]\n你把計時模組接到炸彈\n尾端，再接上雷管。只要\n啟動計時模組，這應該\n就能當克難定時炸彈用。
405	[title32][sentence]\nThe charge cases currently contain no\nexplosive material.  Therefore, there is\nno point in attaching the detonators.	[title32][sentence]\n裝藥盒裡目前沒有炸藥，\n所以接上雷管也是\n白搭。
